config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_class_thresholds,0.8238654650917882,0.8641124466800605,0.7671772396625238,0.23330212234706615
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_global_threshold,0.8238654650917882,0.8641124466800605,0.7645112935215863,0.2921798862810099
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_isotonic_class_thresholds,0.8182790932747304,0.8654189311644084,0.7689511091239981,0.23330212234706615
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_isotonic_global_threshold,0.8182790932747304,0.8654189311644084,0.7675749685329217,0.26837092370800236
nuswide_heldout_ultrastrict_classB_s20260522,heldout_gate_class_thresholds,0.8234526774760533,0.8621851410864323,0.7613940333139935,0.17823169340023273
nuswide_heldout_ultrastrict_classB_s20260522,heldout_gate_global_threshold,0.8234526774760533,0.8621851410864323,0.76282419700623,0.15455593096042536
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_class_thresholds,0.7111385961054263,0.8620945019399653,0.6588211596169037,0.1723633901657928
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_global_threshold,0.7111385961054263,0.8620945019399653,0.6694503796367599,0.18578475518202114
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_isotonic_class_thresholds,0.6993655569940243,0.8604606470447231,0.6612829520861517,0.1723633901657928
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_isotonic_global_threshold,0.6993655569940243,0.8604606470447231,0.6609469037254443,0.1538098098475066
nuswide_heldout_ultrastrict_classB_s20260523,heldout_gate_class_thresholds,0.7103841284182526,0.8601754807641356,0.6554136367345391,0.14866321429080337
nuswide_heldout_ultrastrict_classB_s20260523,heldout_gate_global_threshold,0.7103841284182526,0.8601754807641356,0.6623337551859747,0.13700952402278002
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_class_thresholds,0.781246404278584,0.86537127196696,0.7303336213891057,0.23611045224559762
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_global_threshold,0.781246404278584,0.86537127196696,0.7302627830630675,0.23604250509686714
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_isotonic_class_thresholds,0.7641547932029624,0.864383383782631,0.7297658463140756,0.23803352916867454
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_isotonic_global_threshold,0.7641547932029624,0.864383383782631,0.7326329397833647,0.2307475369071621
nuswide_heldout_ultrastrict_classB_s20260524,heldout_gate_class_thresholds,0.7810913726004933,0.8651973124062098,0.7256929462488558,0.2276383242666533
nuswide_heldout_ultrastrict_classB_s20260524,heldout_gate_global_threshold,0.7810913726004933,0.8651973124062098,0.7270808364128228,0.20239434561977085
nuswide_heldout_ultrastrict_classB_s20260525,clip_knn_class_thresholds,0.809178495992439,0.8737920206097483,0.7569063120482413,0.2394022010617137
nuswide_heldout_ultrastrict_classB_s20260525,clip_knn_global_threshold,0.809178495992439,0.8737920206097483,0.7536282329933383,0.22853129778049275
nuswide_heldout_ultrastrict_classB_s20260525,clip_knn_isotonic_class_thresholds,0.8028106613485558,0.8764647625766285,0.7570576955549453,0.23722828801823542
nuswide_heldout_ultrastrict_classB_s20260525,clip_knn_isotonic_global_threshold,0.8028106613485558,0.8764647625766285,0.7600618767196108,0.24978064076711531
nuswide_heldout_ultrastrict_classB_s20260525,heldout_gate_class_thresholds,0.8095140202865732,0.8734069728609999,0.7519801487822759,0.19302899502872842
nuswide_heldout_ultrastrict_classB_s20260525,heldout_gate_global_threshold,0.8095140202865732,0.8734069728609999,0.7537174490026601,0.18820001881581766
nuswide_heldout_ultrastrict_classB_s20260526,clip_knn_class_thresholds,0.7071543268261702,0.8584282507744352,0.6727024721836468,0.27830981078518896
nuswide_heldout_ultrastrict_classB_s20260526,clip_knn_global_threshold,0.7071543268261702,0.8584282507744352,0.6769029433098364,0.31713283645246787
nuswide_heldout_ultrastrict_classB_s20260526,clip_knn_isotonic_class_thresholds,0.6996888389394185,0.8542882259384831,0.6725509609161522,0.27830981078518896
nuswide_heldout_ultrastrict_classB_s20260526,clip_knn_isotonic_global_threshold,0.6996888389394185,0.8542882259384831,0.6788946205298901,0.30586773963102803
nuswide_heldout_ultrastrict_classB_s20260526,heldout_gate_class_thresholds,0.708533168596209,0.8588519816522503,0.6717198296065321,0.2222846088473303
nuswide_heldout_ultrastrict_classB_s20260526,heldout_gate_global_threshold,0.708533168596209,0.8588519816522503,0.6767789935388102,0.2271026561356237
nuswide_heldout_ultrastrict_s20260522,clip_knn_class_thresholds,0.8072828868505677,0.8697091465102502,0.7518188783000335,0.24208588461594935
nuswide_heldout_ultrastrict_s20260522,clip_knn_global_threshold,0.8072828868505677,0.8697091465102502,0.7525684807617921,0.2649264349588124
nuswide_heldout_ultrastrict_s20260522,clip_knn_isotonic_class_thresholds,0.79873002751661,0.8681865222431473,0.7520475902624613,0.24208588461594935
nuswide_heldout_ultrastrict_s20260522,clip_knn_isotonic_global_threshold,0.79873002751661,0.8681865222431473,0.7503839410862149,0.2573750055063654
nuswide_heldout_ultrastrict_s20260522,heldout_gate_class_thresholds,0.8062026144481871,0.868473177532049,0.7458984656532351,0.22019771522546727
nuswide_heldout_ultrastrict_s20260522,heldout_gate_global_threshold,0.8062026144481871,0.868473177532049,0.7484945827166156,0.2107387339764768
nuswide_heldout_ultrastrict_s20260523,clip_knn_class_thresholds,0.7596614400216659,0.8675591550212008,0.70923067266274,0.1743183489920422
nuswide_heldout_ultrastrict_s20260523,clip_knn_global_threshold,0.7596614400216659,0.8675591550212008,0.7159394411581721,0.2234738340551301
nuswide_heldout_ultrastrict_s20260523,clip_knn_isotonic_class_thresholds,0.7488176089511642,0.8661640773058086,0.7091597276019548,0.18590346229292587
nuswide_heldout_ultrastrict_s20260523,clip_knn_isotonic_global_threshold,0.7488176089511642,0.8661640773058086,0.7145553139002994,0.22058046259550562
nuswide_heldout_ultrastrict_s20260523,heldout_gate_class_thresholds,0.7587907179958705,0.8665928397415051,0.7110604400793097,0.1820020350016208
nuswide_heldout_ultrastrict_s20260523,heldout_gate_global_threshold,0.7587907179958705,0.8665928397415051,0.7129249703187741,0.1838181725179524
nuswide_heldout_ultrastrict_s20260524,clip_knn_class_thresholds,0.8468274040702648,0.8852077327150034,0.7735219685439877,0.1872057282432456
nuswide_heldout_ultrastrict_s20260524,clip_knn_global_threshold,0.8468274040702648,0.8852077327150034,0.7741885510480854,0.207820543925222
nuswide_heldout_ultrastrict_s20260524,clip_knn_isotonic_class_thresholds,0.832837675578396,0.8867566239159348,0.7728509524868329,0.18878053139285192
nuswide_heldout_ultrastrict_s20260524,clip_knn_isotonic_global_threshold,0.832837675578396,0.8867566239159348,0.7804499421563369,0.16132025814749298
nuswide_heldout_ultrastrict_s20260524,heldout_gate_class_thresholds,0.8465988770347519,0.8848373004502814,0.7720951713612018,0.13549976604631536
nuswide_heldout_ultrastrict_s20260524,heldout_gate_global_threshold,0.8465988770347519,0.8848373004502814,0.769616028196273,0.1464324826529551
nuswide_heldout_ultrastrict_s20260525,clip_knn_class_thresholds,0.8320153988798815,0.8899043764937529,0.7693820990342457,0.2823276656728861
nuswide_heldout_ultrastrict_s20260525,clip_knn_global_threshold,0.8320153988798815,0.8899043764937529,0.7739212385499502,0.26256147775277394
nuswide_heldout_ultrastrict_s20260525,clip_knn_isotonic_class_thresholds,0.8136259986088662,0.8858635998855766,0.7707732395592486,0.2823276656728861
nuswide_heldout_ultrastrict_s20260525,clip_knn_isotonic_global_threshold,0.8136259986088662,0.8858635998855766,0.7736417960496188,0.28452267982610524
nuswide_heldout_ultrastrict_s20260525,heldout_gate_class_thresholds,0.832311011734232,0.8898322155740157,0.7710541471601207,0.25634712180390473
nuswide_heldout_ultrastrict_s20260525,heldout_gate_global_threshold,0.832311011734232,0.8898322155740157,0.7728939872110632,0.2312436482954096
nuswide_heldout_ultrastrict_s20260526,clip_knn_class_thresholds,0.7846794569161296,0.8628568361359553,0.7276382641880172,0.3176262852673894
nuswide_heldout_ultrastrict_s20260526,clip_knn_global_threshold,0.7846794569161296,0.8628568361359553,0.7276272495735272,0.35236859747660393
nuswide_heldout_ultrastrict_s20260526,clip_knn_isotonic_class_thresholds,0.7773587844938976,0.86297155195788,0.7278556046475266,0.3176262852673894
nuswide_heldout_ultrastrict_s20260526,clip_knn_isotonic_global_threshold,0.7773587844938976,0.86297155195788,0.7295359980734539,0.294870321395046
nuswide_heldout_ultrastrict_s20260526,heldout_gate_class_thresholds,0.7836701091492466,0.8612312812744303,0.7265053926396184,0.23097473493487825
nuswide_heldout_ultrastrict_s20260526,heldout_gate_global_threshold,0.7836701091492466,0.8612312812744303,0.7235483395454783,0.23827180070470363
