config,frequency_group,num_splits,num_emerging_labels_mean,clip_knn_ap_mean,heldout_ap_mean,ap_delta,clip_knn_f1_mean,heldout_f1_mean,f1_delta,clip_knn_tecr_mean,heldout_tecr_mean,tecr_reduction_pct
nuswide_heldout_ultrastrict_classB_s20260522,head,5.0,5.4,0.7981911544589464,0.7968522434713723,-0.0013389109875741045,0.7500902488231699,0.7457249856100626,-0.004365263213107262,0.22866319163437726,0.14551756069469815,36.36161567823537
nuswide_heldout_ultrastrict_classB_s20260522,mid,5.0,5.0,0.4963870353498784,0.49083016549658637,-0.0055568698532920124,0.488853685446176,0.4864013020561896,-0.0024523833899864345,0.024433231004401566,0.015436182568512615,36.82299911243078
nuswide_heldout_ultrastrict_classB_s20260522,tail,5.0,4.6,0.4163575894553319,0.40301113726957255,-0.013346452185759361,0.4429541281825961,0.42194023454580504,-0.02101389363679107,0.013734533183352082,0.012305961754780652,10.401310401310413
nuswide_heldout_ultrastrict_classB_s20260523,head,5.0,4.4,0.7055206584593997,0.7008666841316729,-0.004653974327726851,0.6571443778626683,0.6517634564831125,-0.005380921379555814,0.12979934807491694,0.11385356668729404,12.284947208224338
nuswide_heldout_ultrastrict_classB_s20260523,mid,5.0,5.4,0.5300087931342595,0.5293293432108216,-0.0006794499234379359,0.4995169494583867,0.5025691707338382,0.0030522212754515166,0.01665527014410122,0.01665527014410122,0.0
nuswide_heldout_ultrastrict_classB_s20260523,tail,5.0,5.2,0.4529092485691325,0.4369575688471435,-0.01595167972198902,0.4431699698457141,0.40396489574473515,-0.039205074100978954,0.015919174170876342,0.009128047441247528,42.660044150110366
nuswide_heldout_ultrastrict_classB_s20260524,head,5.0,5.2,0.7494263321752817,0.7480720159333251,-0.001354316241956588,0.702986875756378,0.7019043925825235,-0.0010824831738545093,0.20381670848883965,0.17802221457959164,12.655730779137981
nuswide_heldout_ultrastrict_classB_s20260524,mid,5.0,5.6,0.564089819511184,0.5637524752007765,-0.0003373443104074392,0.5620993806527961,0.557472748647658,-0.0046266320051381316,0.021760718828349186,0.017777453771258625,18.304841345136484
nuswide_heldout_ultrastrict_classB_s20260524,tail,5.0,4.2,0.48601097172280205,0.47615915679341175,-0.009851814929390301,0.5167329902188125,0.5112148487159929,-0.005518141502819596,0.014028083327071192,0.008965497546536345,36.088934336205014
nuswide_heldout_ultrastrict_classB_s20260525,head,5.0,5.2,0.7999774819362875,0.7980247297111,-0.0019527522251875373,0.7464807339115912,0.74280059106327,-0.0036801428483211884,0.18250414828902695,0.14429091775973985,20.93828051994184
nuswide_heldout_ultrastrict_classB_s20260525,mid,5.0,5.6,0.47789538197187387,0.47594369235727463,-0.001951689614599239,0.4888257512701387,0.4849987880178547,-0.0038269632522840435,0.027159924092231308,0.019038213415776106,29.90328930550397
nuswide_heldout_ultrastrict_classB_s20260525,tail,5.0,4.2,0.47737269488630174,0.45681929430306384,-0.020553400583237902,0.48451740526592646,0.45505702392267205,-0.029460381343254405,0.02450289867612702,0.021206195379423726,13.454339995762409
nuswide_heldout_ultrastrict_classB_s20260526,head,5.0,4.8,0.6629935963471489,0.6617259279867899,-0.0012676683603590755,0.6513230508142087,0.6496200917848851,-0.001702959029323603,0.25148260891537644,0.1889864926217801,24.8510688524892
nuswide_heldout_ultrastrict_classB_s20260526,mid,5.0,6.4,0.6401110769518297,0.6407402477411307,0.0006291707893010257,0.6078257750733436,0.6155292977043604,0.0077035226310168126,0.01491077651711136,0.01647049131212027,-10.460319039850194
nuswide_heldout_ultrastrict_classB_s20260526,tail,5.0,3.8,0.40890186259185873,0.408357093221343,-0.0005447693705157297,0.44705285575941955,0.44079180008738683,-0.006261055672032723,0.030146790897622587,0.028738340193397237,4.671975564524921
nuswide_heldout_ultrastrict_s20260522,head,5.0,5.4,0.7619952472942806,0.7594547879201874,-0.0025404593740931958,0.7272392154865764,0.7190204505255704,-0.008218764961006042,0.20081764158453583,0.1877872858899466,6.488650893305111
nuswide_heldout_ultrastrict_s20260522,mid,5.0,4.0,0.4163863075014955,0.4133001351943458,-0.0030861723071497482,0.4474991905997515,0.4383398987581747,-0.009159291841576822,0.01952139433227688,0.0166016863030798,14.956452287681142
nuswide_heldout_ultrastrict_s20260522,tail,5.0,5.6,0.6152995087178147,0.5873862717552134,-0.027913236962601284,0.6076236231190191,0.5930280215280248,-0.014595601590994267,0.007878293730910596,0.009296733447222653,-18.004402536386642
nuswide_heldout_ultrastrict_s20260523,head,5.0,4.8,0.7358041774926607,0.7341134259116839,-0.001690751580976757,0.7007835932079267,0.696547933787657,-0.004235659420269711,0.16671493090531228,0.13627113504592078,18.26098939913331
nuswide_heldout_ultrastrict_s20260523,mid,5.0,5.4,0.5088574041738585,0.5083787991147185,-0.0004786050591399915,0.5330736002804978,0.526944173473303,-0.006129426807194749,0.01777079813869211,0.012365145944928697,30.418736128647833
nuswide_heldout_ultrastrict_s20260523,tail,5.0,4.8,0.5207171254496743,0.5173743486346979,-0.0033427768149764114,0.5140941801177095,0.512836461365873,-0.0012577187518364452,0.002515723270440252,0.002515723270440252,0.0
nuswide_heldout_ultrastrict_s20260524,head,5.0,4.6,0.8381247647375292,0.8367404812654697,-0.0013842834720594333,0.7600162212633894,0.7565097502548348,-0.0035064710085546125,0.1477894380608085,0.12418634734781275,15.970756112682533
nuswide_heldout_ultrastrict_s20260524,mid,5.0,5.6,0.6091055399230048,0.6071424548749944,-0.001963085048010349,0.5867835893877238,0.5963045349117435,0.00952094552401972,0.008992662024715721,0.011131699457870802,-23.78647643240769
nuswide_heldout_ultrastrict_s20260524,tail,5.0,4.8,0.481663710312443,0.4744668263840673,-0.007196883928375697,0.5083772796571857,0.48665297703177723,-0.021724302625408476,0.00402046783625731,0.0013157894736842105,67.27272727272728
nuswide_heldout_ultrastrict_s20260525,head,5.0,6.2,0.8031669787317386,0.8033524656612714,0.00018548692953279655,0.7596368822662443,0.7569015510623978,-0.0027353312038465027,0.2162930101437237,0.1949830278709687,9.852367516913668
nuswide_heldout_ultrastrict_s20260525,mid,5.0,4.4,0.5004924515330527,0.4978709310570023,-0.002621520476050354,0.501878299130419,0.5097742266339457,0.007895927503526634,0.010417111191567085,0.01482887589744944,-42.35113386764835
nuswide_heldout_ultrastrict_s20260525,tail,5.0,4.4,0.5617033312864583,0.5391089194016055,-0.022594411884852783,0.5925012494226609,0.5461308939997463,-0.046370355422914566,0.012673611111111111,0.006193783068783069,51.128506196999346
nuswide_heldout_ultrastrict_s20260526,head,5.0,4.8,0.7613605924265425,0.7591573009254955,-0.0022032915010470333,0.7052860808488761,0.7026365908777634,-0.002649489971112695,0.2830017745260604,0.21467734596732885,24.14275623294364
nuswide_heldout_ultrastrict_s20260526,mid,5.0,5.0,0.4871017109406692,0.4874077233687866,0.00030601242811745255,0.5130461484645567,0.5054830552312168,-0.007563093233339813,0.015216193042626164,0.015480769230769232,-1.738780438720069
nuswide_heldout_ultrastrict_s20260526,tail,5.0,5.2,0.49193677837510175,0.48445698340070303,-0.0074797949743987124,0.5456683709636065,0.5107404193759721,-0.0349279515876344,0.01186094950800833,0.005295031765620001,55.357437766302965
